Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2022-05-09 Regular,City Council,Regular,,2022,2022-05-09,05:30 PM,completed,4028,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4028,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3646&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3646&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2511&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2511&Inline=True
2022-05-16 Regular,City Council,Regular,,2022,2022-05-16,05:30 PM,completed,4029,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4029,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3653&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3653&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2517&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2517&Inline=True
2022-05-23 Special,City Council,Special,,2022,2022-05-23,10:30 AM,completed,4118,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4118,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3649&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3649&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2520&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2520&Inline=True
2022-05-23 Regular,City Council,Regular,,2022,2022-05-23,05:30 PM,completed,4030,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4030,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3656&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3656&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2527&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2527&Inline=True
2022-05-24 Roundtable,City Council,Roundtable,,2022,2022-05-24,06:00 PM,completed,4117,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4117,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3647&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3647&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2688&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2688&Inline=True
2022-06-01 Special,City Council,Special,,2022,2022-06-01,06:00 PM,completed,4124,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4124,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3658&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3658&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2701&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2701&Inline=True
2022-06-06 Regular,City Council,Regular,,2022,2022-06-06,05:30 PM,completed,4071,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4071,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3664&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3664&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2531&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2531&Inline=True
2022-06-06 Special,City Council,Special,,2022,2022-06-06,06:00 PM,completed,4127,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4127,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3660&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3660&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2532&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2532&Inline=True
2022-06-13 Regular,City Council,Regular,,2022,2022-06-13,05:30 PM,completed,4032,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4032,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3673&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3673&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2533&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2533&Inline=True
2022-06-27 Special,City Council,Special,,2022,2022-06-27,04:30 PM,completed,4143,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4143,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3676&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3676&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2537&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2537&Inline=True
