Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2024-05-02 Committees,Economic Development & University Relations Committee,Committees,,2024,2024-05-02,01:30 PM,completed,4524,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4524,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4048&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4048&Inline=True,,
2024-05-06 Regular,City Council,Regular,,2024,2024-05-06,05:30 PM,completed,4478,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4478,,,,
2024-05-07 Committee,Finance Committee,Committee,,2024,2024-05-07,09:00 AM,completed,4516,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4516,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4038&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4038&Inline=True,,
2024-05-08 Committee,Housing Committee,Committee,,2024,2024-05-08,12:30 PM,completed,4526,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4526,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4050&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4050&Inline=True,,
2024-05-08 Committee,Finance Committee,Committee,,2024,2024-05-08,06:00 PM,completed,4517,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4517,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4039&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4039&Inline=True,,
2024-05-13 Regular,City Council,Regular,,2024,2024-05-13,05:30 PM,completed,4479,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4479,,,,
2024-05-14 Committee,Finance Committee,Committee,,2024,2024-05-14,09:00 AM,completed,4518,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4518,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4040&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4040&Inline=True,,
2024-05-16 Committee,Finance Committee,Committee,,2024,2024-05-16,09:00 AM,completed,4519,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4519,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4041&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4041&Inline=True,,
2024-05-20 Regular,City Council,Regular,,2024,2024-05-20,05:30 PM,scheduled,4480,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4480,,,,
2024-05-29 Committee,Public Safety Committee,Committee,,2024,2024-05-29,03:00 PM,scheduled,4521,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4521,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4044&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4044&Inline=True,,
2024-06-03 Regular,City Council,Regular,,2024,2024-06-03,05:30 PM,scheduled,4481,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4481,,,,
2024-06-10 Regular,City Council,Regular,,2024,2024-06-10,05:30 PM,scheduled,4482,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4482,,,,
2024-06-17 Regular,City Council,Regular,,2024,2024-06-17,05:30 PM,scheduled,4483,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4483,,,,
2024-06-24 Regular,City Council,Regular,,2024,2024-06-24,05:30 PM,scheduled,4484,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4484,,,,
