Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
Planning Board,Planning Board,,08/25/20,06:30 PM,completed,2710,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2710,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2275&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2228&Inline=True
Community Benefits Advisory Committee,Regular,,08/26/20,10:00 AM,completed,2818,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2818,,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2283&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2283&Inline=True
Ordinance Committee,Committee,,08/26/20,05:00 PM,completed,2700,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2700,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2264&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2264&Inline=True,FileView.aspx?Type=15&ID=2217,FileView.aspx?Type=12&ID=2217
Board of Zoning Appeal,Hearing – Remote,,08/27/20,06:00 PM,completed,2711,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2711,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2274&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2274&Inline=True,,
Planning Board,Planning Board,,09/08/20,06:30 PM,completed,2712,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2712,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2278&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2236&Inline=True
Board of Zoning Appeal,Hearing – Remote,,09/10/20,06:00 PM,completed,2717,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2717,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2276&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2276&Inline=True,,
City Council,Regular,,09/14/20,05:30 PM,completed,2687,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2687,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2283&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2283&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2222&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2222&Inline=True
Planning Board,Planning Board,,09/15/20,06:30 PM,completed,2713,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2713,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2280&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2245&Inline=True
Transportation & Public Utilities Committee,Committee,,09/16/20,01:00 PM,completed,2718,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2718,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2277&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2277&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2226&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2226&Inline=True
Community Benefits Advisory Committee,Regular,,09/21/20,10:00 AM,completed,2819,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2819,,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2282&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2282&Inline=True
City Council,Regular,,09/21/20,05:30 PM,completed,2705,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2705,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2292&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2292&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2227&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2227&Inline=True
Planning Board,Planning Board,,09/22/20,06:30 PM,completed,2714,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2714,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2284&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2246&Inline=True
City Council,Special,,09/23/20,05:30 PM,completed,2730,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2730,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2286&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2286&Inline=True,,
Board of Zoning Appeal,Hearing – Remote,,09/24/20,06:00 PM,completed,2722,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2722,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2279&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2279&Inline=True,,
City Council,Special,,09/29/20,12:00 PM,completed,2740,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2740,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2298&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2298&Inline=True,,
Economic Development & University Relations Committee,Committees,,09/30/20,02:00 PM,completed,2727,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2727,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2282&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2282&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2240&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2240&Inline=True
