Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2023 #216,08/07/23 Special,08/07/23,24,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20272&CssClass=,
CMA 2023 #217,08/07/23 Special,08/07/23,25,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20271&CssClass=,
CMA 2023 #218,08/07/23 Special,08/07/23,26,Transmitting Communication,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20286&CssClass=,Vote to allow the City Clerk to Transmit the Proposed Legislation
CMA 2023 #219,08/07/23 Special,08/07/23,27,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20281&CssClass=,
CMA 2023 #220,08/23/23 Special,08/23/23,1,Appropriation,,,,Placed on File,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4418&MediaPosition=&ID=20388&CssClass=,
CMA 2023 #221,09/11/23 Regular,09/11/23,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20533&CssClass=,
CMA 2023 #222,09/11/23 Regular,09/11/23,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20530&CssClass=,
CMA 2023 #223,09/11/23 Regular,09/11/23,3,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20536&CssClass=,
CMA 2023 #224,09/11/23 Regular,09/11/23,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20520&CssClass=,
CMA 2023 #225,09/11/23 Regular,09/11/23,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20521&CssClass=,
CMA 2023 #226,09/11/23 Regular,09/11/23,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20522&CssClass=,
CMA 2023 #227,09/11/23 Regular,09/11/23,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20523&CssClass=,
CMA 2023 #228,09/11/23 Regular,09/11/23,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20524&CssClass=,
CMA 2023 #229,09/11/23 Regular,09/11/23,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20525&CssClass=,
CMA 2023 #230,09/11/23 Regular,09/11/23,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20526&CssClass=,
CMA 2023 #231,09/11/23 Regular,09/11/23,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20527&CssClass=,
CMA 2023 #232,09/11/23 Regular,09/11/23,12,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20528&CssClass=,
CMA 2023 #233,09/11/23 Regular,09/11/23,13,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20531&CssClass=,
CMA 2023 #234,09/11/23 Regular,09/11/23,14,Awaiting Report Response,,POR 2023 #133,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20537&CssClass=,
CMA 2023 #235,09/11/23 Regular,09/11/23,15,Awaiting Report Response,,POR 2023 #135,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20539&CssClass=,REFERRED TO ORDINANCE COMMITTEE AND PLANNING BOARD FOR HEARING AND REPORT
CMA 2023 #236,09/11/23 Regular,09/11/23,16,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20542&CssClass=,
CMA 2023 #237,09/11/23 Regular,09/11/23,17,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20549&CssClass=,
CMA 2023 #238,09/11/23 Regular,09/11/23,18,Appointment,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4384&MediaPosition=&ID=20519&CssClass=,REFERRED TO THE HOUSING COMMITTEE
CMA 2023 #239,09/18/23 Regular,09/18/23,1,Appointment,,,,APPROVED,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4385&MediaPosition=&ID=20577&CssClass=,
CMA 2023 #240,09/18/23 Regular,09/18/23,2,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4385&MediaPosition=&ID=20579&CssClass=,
CMA 2023 #241,09/18/23 Regular,09/18/23,3,Transmitting Communication,,,Quinton Zondervan,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4385&MediaPosition=&ID=20584&CssClass=,EXERCISED BY COUNCILLOR ZONDERVAN
CMA 2023 #242,09/18/23 Regular,09/18/23,4,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4385&MediaPosition=&ID=20627&CssClass=,
CMA 2023 #243,09/18/23 Regular,09/18/23,5,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4385&MediaPosition=&ID=20622&CssClass=,
CMA 2023 #244,09/18/23 Regular,09/18/23,6,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4385&MediaPosition=&ID=20708&CssClass=,
CMA 2023 #245,10/02/23 Regular,10/02/23,1,Transmitting Communication,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4386&MediaPosition=&ID=20791&CssClass=,
CMA 2023 #246,10/02/23 Regular,10/02/23,2,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4386&MediaPosition=&ID=20763&CssClass=,
CMA 2023 #247,10/02/23 Regular,10/02/23,3,Transmitting Communication,,,,APPROVED,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4386&MediaPosition=&ID=20759&CssClass=,RECOMMENDATION. PLACE ON FILE 9-0-0
CMA 2023 #248,10/02/23 Regular,10/02/23,4,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4386&MediaPosition=&ID=20762&CssClass=,
CMA 2023 #249,10/02/23 Regular,10/02/23,5,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4386&MediaPosition=&ID=20770&CssClass=,
CMA 2023 #251,10/02/23 Regular,10/02/23,6,Transmitting Communication,,,,APPROVED,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4386&MediaPosition=&ID=20796&CssClass=,ACCEPT AND APPROVE UPDATE SURVEILLANCE TECHNOLOGY IMPACT REPORT. PLACE ON FILE 9-0-0
