Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2025 #24,11,2025-01-27 Regular,2025-01-27,Death Resolution,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27121&CssClass=,Condolences on the death of David Bertrand.,
RES 2025 #25,12,2025-01-27 Regular,2025-01-27,Death Resolution,Ayesha M. Wilson,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27143&CssClass=,Resolution on the death of Ms. Joella Bieber.,
RES 2025 #26,1,2025-02-03 Regular,2025-02-03,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=26770&CssClass=,Congratulations to Michael DeAmbrose on his retirement from the Cambridge Fire Department.,
RES 2025 #27,2,2025-02-03 Regular,2025-02-03,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=26970&CssClass=,Congratulations to Edward Fales on his retirement from the Cambridge Fire Department.,
RES 2025 #28,3,2025-02-03 Regular,2025-02-03,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=26980&CssClass=,Congratulations to Faye Santarpio on her retirement from the Cambridge Health Alliance.,
RES 2025 #29,4,2025-02-03 Regular,2025-02-03,Resolution,E. Denise Simmons,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27126&CssClass=,Congratulations to Robyn Culbertson on the occasion of her retirement as Executive Director of the Office for Tourism.,
RES 2025 #30,5,2025-02-03 Regular,2025-02-03,Death Resolution,E. Denise Simmons,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4633&MediaPosition=&ID=27373&CssClass=,Condolences To The Family of Barbara Elizabeth Brathwaite,
RES 2025 #31,1,2025-02-10 Regular,2025-02-10,Congratulations,Burhan Azeem,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=27236&CssClass=,Congratulations to the Cambridge Symphony Orchestra on their 50th anniversary.,
RES 2025 #32,2,2025-02-10 Regular,2025-02-10,Death Resolution,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=27423&CssClass=,Condolences on the death of Josephine Tuccinardi.,
RES 2025 #33,3,2025-02-10 Regular,2025-02-10,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=26767&CssClass=,Congratulations to Nelson Carneiro on his retirement from the Cambridge Health Alliance.,
