Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Type of Vote,Sumbul Siddiqui,Burhan Azeem,Patricia Nolan,Jivan Sobrinho-Wheeler,Catherine Zusy,Marc C. McGovern,E. Denise Simmons,Timothy R. Flaherty,Ayah A. Al-Zubi,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2026-62,3,2026-04-13 Regular,2026-04-13,,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=17f08a2d-f234-47c2-977c-95929bb16d67,Resolution on the death of Nissa Larsen,
RES 2026-64,4,2026-04-13 Regular,2026-04-13,,Ayah A. Al-Zubi,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87282,Resolution recognizing Cambridge-El Salvador Sister City and the work of San José Las Flores,
RES 2026-65,1,2026-04-27 Regular,2026-04-27,,Sumbul Siddiqui,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87287,Resolution on the retirement of Mary Greene from the City of Cambridge,
RES 2026-67,2,2026-04-27 Regular,2026-04-27,,Sumbul Siddiqui,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87296,Resolution for National Library Week,
RES 2026-73,1,2026-05-04 Regular,2026-05-04,,Timothy R. Flaherty,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=6c1b95c0-c7b0-4c84-80cb-dac10c98b717,Congratulations to William “Billy” McDonald on his retirement,
RES 2026-74,2,2026-05-04 Regular,2026-05-04,,Marc C. McGovern,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=f7581f4b-3b3e-4876-b73d-d6835384da14,Congratulations to The Garment District on its 40th Anniversary,
RES 2026-75,3,2026-05-04 Regular,2026-05-04,,Marc C. McGovern,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=e01c3a05-926a-432f-8472-ee4e97d703b3,City Council appreciation of Nathan Hoefgen-Harvey for his service as a Social Work intern,
RES 2026-76,4,2026-05-04 Regular,2026-05-04,,Sumbul Siddiqui,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=d6b87560-a60d-481b-8322-8052a796518a,Resolution on Susan Mintz's Retirement,
RES 2026-79,1,2026-05-11 Regular,2026-05-11,,Timothy R. Flaherty,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=513332f9-4f77-4bbb-adc3-7af4a8b43028,Condolences to the family of Charles Linehan III,
RES 2026-80,2,2026-05-11 Regular,2026-05-11,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=a2d8af08-0880-496d-be5d-c2b2a9540a26,Resolution Recognizing National Nurses Week,
RES 2026-83,3,2026-05-11 Regular,2026-05-11,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=e89eb134-3ab5-4037-a959-ee8036b3f228,"Condolences To The Family of Walter C. Bridgeman, Jr",
RES 2026-81,1,2026-05-18 Regular,2026-05-18,,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=ae7550cd-8049-4657-bffb-ff3e5893d20b,Resolution recognizing National Telecommunicators Week (April 12-18),
RES 2026-82,2,2026-05-18 Regular,2026-05-18,,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=ffb5e4de-0282-45e1-89e7-121cad55c949,"That the City Council go on record urging all residents to honor the service and sacrifice by commemorating Memorial Day on May 25, 2026",
RES 2026-84,3,2026-05-18 Regular,2026-05-18,,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=c09d1c32-1417-48ef-a69e-ad884d5e7182,Resolution on the death of Vinton Turner,
RES 2026-85,4,2026-05-18 Regular,2026-05-18,,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=b8f527cd-8c4a-40e4-9dda-cd21c620d1e3,Congratulations to owner Daniel Roughan on the opening of his new restaurant Alice & Monarch,
RES 2026-86,5,2026-05-18 Regular,2026-05-18,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=652f8f23-7b06-4ba3-bd07-fa7fe67418e3,Congratulations to the 2026 Inspire Awards Honorees,
RES 2026-87,6,2026-05-18 Regular,2026-05-18,,Timothy R. Flaherty,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=55dc9341-7200-4972-974f-52a5b73cf928,Condolences to the family of Michael J. Sheehan,
RES 2026-88,7,2026-05-18 Regular,2026-05-18,,Timothy R. Flaherty,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=be5d5055-ea75-4979-93b9-91b6574205de,Condolences to the family of Fernando M. Mendonca,
RES 2026-89,1,2026-06-01 Regular,2026-06-01,,Marc C. McGovern,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=1f4bb74c-a35d-44f2-98ce-c2ef5236b4da,Resolution in Memory of Ann Whitford Lewis Austin,
RES 2026-90,2,2026-06-01 Regular,2026-06-01,,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=2ff73b38-170c-4a95-a350-d7390b4b40e9,Condolences to the family of Barney Frank,
RES 2026-91,3,2026-06-01 Regular,2026-06-01,,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=8820a332-24c6-4c3a-8b4a-34731d932061,"That the City Council go on record congratulating the 2026 retirees of Cambridge Public Schools, thanking them for their many years of dedicated service, and extending best wishes to each of them for a happy, healthy, and fulfilling retirement",
RES 2026-92,4,2026-06-01 Regular,2026-06-01,,Catherine Zusy,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=450f7f2c-95be-44f7-a125-eee9351156bf,"That the City Council go on record celebrating the 35th Anniversary of the Cambridge Community Chorus and recognizing the Chorus for its extraordinary artistic achievements, community service, and commitment to making choral music accessible to all",
RES 2026-93,5,2026-06-01 Regular,2026-06-01,,Sumbul Siddiqui,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=58cff16d-83a8-41e4-9cd4-59c17d3d7c51,Resolution on the retirement of Michael Rowell,
RES 2026-94,6,2026-06-01 Regular,2026-06-01,,Sumbul Siddiqui,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=f308cef8-505e-4a2e-a2da-e910404df1da,Congratulations to the CRLS Boys Baseball team on winning the Dual County League Championship,
