# Final piles of ballots, sorted by candidate.
# Created Friday, November 14, 2025 5:12 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "LaQueen Arleen Battle"
.CANDIDATE C02, "Alborz Bejnood"
.CANDIDATE C03, "Alex Bowers"
.CANDIDATE C04, "Anne Mathilde Coburn"
.CANDIDATE C05, "Luisa de Paula Santos"
.CANDIDATE C06, "Caitlin E. Dube"
.CANDIDATE C07, "Melanie Gause"
.CANDIDATE C08, "Jessica Diaz Goetz"
.CANDIDATE C09, "Richard N. Harding, Jr."
.CANDIDATE C10, "Lilly Havstad"
.CANDIDATE C11, "Jane Hirschi"
.CANDIDATE C12, "Elizabeth Hudson"
.CANDIDATE C13, "Caroline Mary Lisette Hunter"
.CANDIDATE C14, "Arjun Kent Jaikumar"
.CANDIDATE C15, "Jia-Jing Lee"
.CANDIDATE C16, "José Luis Rojas Villarreal"
.CANDIDATE C17, "Eugenia Schraa Huh"
.CANDIDATE C18, "David J. Weinstein"
.CANDIDATE WI01, "Write-in 1"
.CANDIDATE WI02, "Write-in 2"
.CANDIDATE WI03, "Write-in 3"
.CANDIDATE WI04, "Write-in 4"
.CANDIDATE WI05, "Write-in 5"
.CANDIDATE WI06, "Write-in 6"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C05
.EXCLUDE-CANDIDATE C06
.EXCLUDE-CANDIDATE C09
.EXCLUDE-CANDIDATE C12
.EXCLUDE-CANDIDATE C14
.EXCLUDE-CANDIDATE C18

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("LaQueen Arleen Battle")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C02 ("Alborz Bejnood")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C03 ("Alex Bowers")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C04 ("Anne Mathilde Coburn")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C05 ("Luisa de Paula Santos")
# Candidate has 3,303 ballots in his/her pile.
.FINAL-PILE C05
000402-00-00120000829837, 1) C05,C14,C11,C10,C08,C06,C16,C01
000402-00-00120000859687, 1) C05,C10,C08,C06,C04,C14,C17,C11,C15
000402-00-00120000889546, 1) C05,C10,C08,C06,C14,C04,C17,C11,C15
000402-00-00120000892993, 1) C05,C06,C08,C10,C14,C18,C16
000402-00-00120000918242, 1) C05,C10,C14,C06,C08,C11,C01,C15,C04,C03
000402-00-00120000928784, 1) C05,C08,C14,C11,C17,C13
000402-00-00120000930974, 1) C05,C10,C08,C14,C06,C15,C03
000402-00-00120000934392, 1) C05,C14,C10,C11,C06,C08,C18,C09
000402-00-00120000936208, 1) C05,C10,C11,C14,C17,C16,C08
000402-00-00120000957338, 1) C05,C06,C08,C10,C14,C16,C18
000402-00-00120000976025, 1) C05,C10,C08,C14,C06,C11
000402-00-00120000981947, 1) C05,C06,C08,C10,C17,C14,C16,C18
000402-00-00120000982204, 1) C05,C06,C08,C10,C14,C15
000402-00-00470004000001, 1) C05
000402-00-00470004000017, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-00470006000004, 1) C05,C06,C08,C10,C14,C15
000402-00-09120000043025, 1) C05,C10,C11,C08,C06
000402-00-09120000057701, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-09120000089289, 1) C05,C11,C14,C06,C08,C10
000402-00-09120000095134, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-09120000170556, 1) C05,C06,C08,C10,C14,C18,C16
000402-00-09120000189988, 1) C05,C06,C08,C10,C13
000402-00-09120000190465, 1) C05,C06,C07,C08,C10,C13,C14,C18,C16
000402-00-09120000195733, 1) C05,C06,C08,C14,C10,C18,C16,C11,C13,C12,C09
000402-00-09120000210422, 1) C05,C06,C08,C10,C14
000402-00-09120000214842, 1) C05,C10,C08,C06,C14,C15,C16,C18
000402-00-09120000243395, 1) C05,C10,C07,C06,C14,C04
000402-00-09120000274606, 1) C05,C14,C15,C10,C06,C08
000402-00-09120000299751, 1) C05,C06,C13,C11,C14,C08
000402-00-09120000347989, 1) C05,C06,C04,C08,C15,C09,C10,C11,C07,C12,C14,C13,C16
000402-00-09120000363005, 1) C05,C10,C08,C06,C14,C17,C04,C11,C15
000402-00-09120000384721, 1) C05,C14,C15,C10,C06,C08
000402-00-09120000395953, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-09120000411995, 1) C05,C06,C08,C10,C14,C15
000402-00-09120000428939, 1) C05,C15,C14,C18,C03,C04,C06,C12,C13
000402-00-09120000446554, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15,C12
000402-00-09120000453104, 1) C05,C06,C08,C14,C15,C03
000402-00-09120000471558, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-09120000475445, 1) C05,C11,C14,C08,C06,C10
000402-00-09120000532045, 1) C05,C06,C08,C10,C11,C14
000402-00-09120000585544, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15,C12
000402-00-09120000586061, 1) C05,C01,C15,C03,C16,C14
000402-00-09120000595492, 1) C05,C11,C14,C01,C06,C17
000402-00-09120000614524, 1) C05,C06,C08,C10,C14,C16,C18
000402-00-09120000625639, 1) C05,C06,C10,C14,C08,C18
000402-00-09120000630603, 1) C05,C11,C15,C14
000402-00-09120000649027, 1) C05,C14,C06,C08,C10,C04,C03,C01,C02,C17,C07,C18,C16,C15,C11
000402-00-09120000668088, 1) C05,C06,C14,C07
000402-00-09120000670820, 1) C05,C11,C10,C08,C06
000402-00-09120000671093, 1) C05,C06,C08,C10,C14,C16,C18
000402-00-09120000749023, 1) C05,C06,C14,C10,C15,C08
000402-00-09120000753707, 1) C05,C17,C14,C06,C08,C10,C02,C04
000402-00-09120000789768, 1) C05,C10,C08,C06,C14,C04,C17
000402-00-09120000819755, 1) C05,C14,C06,C11
000402-00-09120000839117, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-09120000848344, 1) C05,C06,C08,C10,C11,C14
000402-00-09120000923589, 1) C05,C06,C08,C10,C18,C14,C16,C17
000402-00-09120000925158, 1) C05,C06,C08,C10,C14,C18,C16
000402-00-09120000930228, 1) C05,C14,C06,C08,C10,C18,C16
000402-00-09120000966100, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000402-00-09120000966296, 1) C05,C14,C08,C06,C10,C16,C11,C15,C18
000402-00-09120000970095, 1) C05,C11,C17,C12,C16,C13,C09,C04
000102-00-00020000135866, 1) C05,C17,C10,C06,C13,C11,C04,C01
000102-00-00020000258850, 1) C05,C06,C08,C10,C14
000102-00-00020000388266, 1) C05,C10,C08,C06,C14,C04,C11,C17
000102-00-00020000391907, 1) C05,C06,C08,C10,C11,C14
000102-00-00020000435385, 1) C05,C06,C08,C10,C14,C16,C18
000102-00-00020000454640, 1) C05,C10,C14,C06,C08,C11,C16
000102-00-00020000483453, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15,C13,C12,C09,C01,C18,C16
000102-00-00020000523433, 1) C05,C10,C08,C06,C17,C14,C04,C11
000102-00-00020000660618, 1) C05,C09,C16,C18,C13,C12,C07
000102-00-00020000678047, 1) C05,C14,C15,C01,C02
000102-00-00020000685503, 1) C05,C14,C06,C08,C10,C11,C15
000102-00-00020000849727, 1) C05,C10,C14,C06,C11,C08
000502-00-00150000000330, 1) C05,C06,C08,C10,C09,C14
000502-00-00150000017292, 1) C05,C12,C10,C17
000502-00-00150000072139, 1) C05,C10,C08,C14,C06,C04,C17
000502-00-00150000100275, 1) C05,C10,C08,C06,C14,C04,C17,C11,C15
000502-00-00150000102560, 1) C05,C06,C10,C08,C14,C11,C04
000502-00-00150000109100, 1) C05,C01
000502-00-00150000130122, 1) C05,C10,C08,C06,C14,C17,C04,C11,C15
000502-00-00150000220161, 1) C05,C06,C08,C10,C14
000502-00-00150000276785, 1) C05,C06,C08,C10,C14,C11
000502-00-00150000399057, 1) C05,C10,C08,C06,C04,C14,C17,C11,C15
000502-00-00150000532021, 1) C05
000502-00-00150000555531, 1) C05,C06,C08,C10,C14,C15
000502-00-00150000655076, 1) C05,C15,C14,C06,C11,C10
